,Duration,Start Time,Profile Name,Country,Bookmark,Latest Bookmark,Supplemental Video Type,Attributes,Device Type,Title,dia_da_semana,mes_do_ano,morning,afternoon,night,dawn
92,0 days 00:44:33,2026-01-05 14:48:50+00:00,Jose,BR (Brazil),00:44:36,00:44:36,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Depois da Cabana: Minissérie: Regras (episódio 4),0,1,,0 days 00:44:33,,
93,0 days 00:19:22,2026-01-05 14:29:25+00:00,Jose,BR (Brazil),00:45:24,00:45:24,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Depois da Cabana: Minissérie: A casa (episódio 3),0,1,,0 days 00:19:22,,
94,0 days 00:26:02,2026-01-05 13:50:58+00:00,Jose,BR (Brazil),00:26:07,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Depois da Cabana: Minissérie: A casa (episódio 3),0,1,,0 days 00:26:02,,
95,0 days 00:16:19,2026-01-05 13:34:36+00:00,Jose,BR (Brazil),00:41:44,00:41:44,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Depois da Cabana: Minissérie: Avô (episódio 2),0,1,,0 days 00:16:19,,
96,0 days 00:08:41,2026-01-05 01:18:18+00:00,Jose,BR (Brazil),00:25:28,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Depois da Cabana: Minissérie: Avô (episódio 2),0,1,,,,0 days 00:08:41
97,0 days 00:17:49,2026-01-05 01:00:14+00:00,Jose,BR (Brazil),00:17:54,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Depois da Cabana: Minissérie: Avô (episódio 2),0,1,,,,0 days 00:17:49
98,0 days 00:09:11,2026-01-05 00:54:41+00:00,Anas,BR (Brazil),00:09:11,Not latest view,,Autoplayed: user action: User_Interaction; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Love 101: Temporada 2: Episódio 4 (episódio 4),0,1,,,,0 days 00:09:11
99,0 days 00:08:16,2026-01-05 00:51:37+00:00,Jose,BR (Brazil),00:40:26,00:40:26,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Depois da Cabana: Minissérie: Hannah (episódio 1),0,1,,,,0 days 00:08:16
100,0 days 00:20:26,2026-01-05 00:30:31+00:00,Jose,BR (Brazil),00:32:16,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Depois da Cabana: Minissérie: Hannah (episódio 1),0,1,,,,0 days 00:20:26
101,0 days 00:14:46,2026-01-05 00:15:07+00:00,Jose,BR (Brazil),00:12:16,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Depois da Cabana: Minissérie: Hannah (episódio 1),0,1,,,,0 days 00:14:46
112,0 days 00:45:17,2026-01-05 00:09:22+00:00,Anas,BR (Brazil),00:45:17,00:45:17,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Love 101: Temporada 2: Episódio 3 (episódio 3),0,1,,,,0 days 00:45:17
120,0 days 00:06:37,2026-01-04 23:58:16+00:00,Jose,BR (Brazil),00:06:49,00:06:49,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Katla: Temporada 1: A mãe (episódio 3),6,1,,,0 days 00:06:37,
121,0 days 00:43:48,2026-01-04 23:14:06+00:00,Jose,BR (Brazil),00:44:00,00:44:00,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Katla: Temporada 1: Asa (episódio 2),6,1,,,0 days 00:43:48,
122,0 days 00:47:17,2026-01-04 23:10:54+00:00,Anas,BR (Brazil),00:47:17,00:47:17,,Autoplayed: user action: User_Interaction; ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Love 101: Temporada 2: Episódio 2 (episódio 2),6,1,,,0 days 00:47:17,
123,0 days 00:12:46,2026-01-04 22:58:06+00:00,Anas,BR (Brazil),00:48:39,00:48:39,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Love 101: Temporada 2: Episódio 1 (episódio 1),6,1,,,0 days 00:12:46,
125,0 days 00:31:36,2026-01-04 22:42:12+00:00,Jose,BR (Brazil),00:40:01,00:40:01,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Katla: Temporada 1: Do meio da geleira (episódio 1),6,1,,,0 days 00:31:36,
131,0 days 00:35:55,2026-01-04 03:11:21+00:00,Anas,BR (Brazil),00:35:55,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Love 101: Temporada 2: Episódio 1 (episódio 1),6,1,,,,0 days 00:35:55
132,0 days 00:44:30,2026-01-04 01:41:28+00:00,Anas,BR (Brazil),00:44:36,00:44:36,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Love 101: Temporada 1: Momento especial (episódio 8),6,1,,,,0 days 00:44:30
133,0 days 00:45:15,2026-01-04 00:53:20+00:00,Anas,BR (Brazil),00:45:04,00:45:04,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Love 101: Temporada 1: Mudança (episódio 7),6,1,,,,0 days 00:45:15
134,0 days 00:30:31,2026-01-04 00:22:48+00:00,Anas,BR (Brazil),00:30:36,00:30:36,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Love 101: Temporada 1: Diversão (episódio 6),6,1,,,,0 days 00:30:31
135,0 days 00:11:45,2026-01-04 00:10:54+00:00,Anas,BR (Brazil),00:38:09,00:38:09,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Love 101: Temporada 1: Afeto (episódio 5),6,1,,,,0 days 00:11:45
136,0 days 00:27:55,2026-01-03 23:31:22+00:00,Anas,BR (Brazil),00:26:38,Not latest view,,,Samsung 2017 Kant-M UHD TV Smart TV,Love 101: Temporada 1: Afeto (episódio 5),5,1,,,0 days 00:27:55,
137,0 days 00:00:02,2026-01-03 22:52:47+00:00,Jose,BR (Brazil),00:00:02,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Terra de Pecados: Minissérie: Você Foi Avisado (episódio 1),5,1,,,0 days 00:00:02,
138,0 days 00:00:01,2026-01-03 22:52:29+00:00,Jose,BR (Brazil),00:00:01,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Terra de Pecados: Minissérie: Você Foi Avisado (episódio 1),5,1,,,0 days 00:00:01,
140,0 days 00:31:46,2026-01-03 22:45:46+00:00,Anas,BR (Brazil),00:31:51,00:31:51,,Autoplayed: user action: User_Interaction; ,Samsung 2017 Kant-M UHD TV Smart TV,Love 101: Temporada 1: Saudade (episódio 4),5,1,,,0 days 00:31:46,
141,0 days 00:11:33,2026-01-03 22:36:36+00:00,Léo,BR (Brazil),00:10:39,Not latest view,,,Firefox PC (Cadmium),Doze homens e outro segredo,5,1,,,0 days 00:11:33,
143,0 days 00:10:34,2026-01-03 22:16:42+00:00,Jose,BR (Brazil),00:10:34,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Katla: Temporada 1: Do meio da geleira (episódio 1),5,1,,,0 days 00:10:34,
145,0 days 00:31:46,2026-01-03 22:11:08+00:00,Anas,BR (Brazil),00:31:47,00:31:47,,,Samsung 2017 Kant-M UHD TV Smart TV,Love 101: Temporada 1: Luxúria (episódio 3),5,1,,,0 days 00:31:46,
146,0 days 00:11:18,2026-01-03 22:04:21+00:00,Jose,BR (Brazil),00:11:18,00:11:18,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Manifest: Temporada 1: Piloto (episódio 1),5,1,,,0 days 00:11:18,
148,0 days 00:00:11,2026-01-03 21:58:01+00:00,Anas,BR (Brazil),00:00:16,Not latest view,,Autoplayed: user action: None; ,Samsung 2017 Kant-M UHD TV Smart TV,Love 101: Temporada 1: Luxúria (episódio 3),5,1,,,0 days 00:00:11,
149,0 days 00:31:20,2026-01-03 21:32:16+00:00,Jose,BR (Brazil),00:30:26,00:30:26,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Uma Advogada Extraordinária: Temporada 1: A extraordinária advogada Woo (episódio 1),5,1,,,0 days 00:31:20,
156,0 days 00:00:11,2026-01-03 21:27:22+00:00,Jose,BR (Brazil),00:00:30,00:00:30,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Dr.STONE: Temporada 1: Episódio 1 (episódio 1),5,1,,,0 days 00:00:11,
160,0 days 00:36:19,2026-01-03 21:21:40+00:00,Anas,BR (Brazil),00:36:26,00:36:26,,,Samsung 2017 Kant-M UHD TV Smart TV,Love 101: Temporada 1: Admiração (episódio 2),5,1,,,0 days 00:36:19,
161,0 days 00:31:13,2026-01-03 20:50:12+00:00,Anas,BR (Brazil),00:41:38,00:41:38,,,Samsung 2017 Kant-M UHD TV Smart TV,Love 101: Temporada 1: Primeiro momento (episódio 1),5,1,,,0 days 00:31:13,
162,0 days 00:10:28,2026-01-03 20:33:03+00:00,Anas,BR (Brazil),00:10:28,Not latest view,,,Samsung 2017 Kant-M UHD TV Smart TV,Love 101: Temporada 1: Primeiro momento (episódio 1),5,1,,,0 days 00:10:28,
163,0 days 01:05:08,2026-01-03 19:02:09+00:00,Léo,BR (Brazil),01:51:30,01:51:30,,,Firefox PC (Cadmium),Onze homens e um segredo,5,1,,,0 days 01:05:08,
164,0 days 00:17:45,2026-01-03 16:13:28+00:00,Anas,BR (Brazil),00:17:45,00:17:45,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Arrested Development: Temporada 1: Tudo pelo bem (episódio 5),5,1,,0 days 00:17:45,,
165,0 days 00:21:14,2026-01-03 15:52:12+00:00,Anas,BR (Brazil),00:21:14,00:21:14,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Arrested Development: Temporada 1: Decisões chave (episódio 4),5,1,,0 days 00:21:14,,
166,0 days 00:21:39,2026-01-03 15:30:31+00:00,Anas,BR (Brazil),00:21:39,00:21:39,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Arrested Development: Temporada 1: Levado da breca (episódio 3),5,1,,0 days 00:21:39,,
167,0 days 00:21:32,2026-01-03 15:08:56+00:00,Anas,BR (Brazil),00:21:32,00:21:32,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Arrested Development: Temporada 1: Banana-chefe (episódio 2),5,1,,0 days 00:21:32,,
168,0 days 00:21:12,2026-01-03 14:47:41+00:00,Anas,BR (Brazil),00:21:12,00:21:12,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Arrested Development: Temporada 1: Piloto (episódio 1),5,1,,0 days 00:21:12,,
176,0 days 01:23:02,2026-01-02 23:54:23+00:00,Anas,BR (Brazil),01:22:52,01:22:52,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,"Os seus, os meus e os nossos",4,1,,,0 days 01:23:02,
178,0 days 00:32:21,2026-01-02 23:10:23+00:00,Anas,BR (Brazil),01:00:20,Not latest view,,,Samsung 2017 Kant-M UHD TV Smart TV,Beijo Explosivo: Minissérie: Beijo Explosivo (episódio 14),4,1,,,0 days 00:32:21,
179,0 days 00:05:31,2026-01-02 21:50:03+00:00,Jose,BR (Brazil),00:07:42,00:07:42,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Hunter x Hunter: Temporada 1: Rivais x Pela x Sobrevivência (episódio 3),4,1,,,0 days 00:05:31,
180,0 days 00:08:17,2026-01-02 21:41:01+00:00,Jose,BR (Brazil),00:23:42,00:23:42,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Hunter x Hunter: Temporada 1: O Teste x Dos x Testes (episódio 2),4,1,,,0 days 00:08:17,
182,0 days 00:11:21,2026-01-02 21:29:15+00:00,Jose,BR (Brazil),00:13:28,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Hunter x Hunter: Temporada 1: O Teste x Dos x Testes (episódio 2),4,1,,,0 days 00:11:21,
183,0 days 00:20:53,2026-01-02 21:08:19+00:00,Jose,BR (Brazil),00:22:06,00:22:06,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Hunter x Hunter: Temporada 1: Despedida x E x Amigos (episódio 1),4,1,,,0 days 00:20:53,
188,0 days 00:00:05,2026-01-02 21:06:04+00:00,Jose,BR (Brazil),00:00:05,00:00:05,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Rojst:  1: Episódio 1 (episódio 1),4,1,,,0 days 00:00:05,
189,0 days 00:00:16,2026-01-02 21:05:42+00:00,Jose,BR (Brazil),00:24:04,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Rojst:  1: Episódio 1 (episódio 1),4,1,,,0 days 00:00:16,
192,0 days 00:53:12,2026-01-02 19:08:12+00:00,Léo,BR (Brazil),00:56:02,Not latest view,,,Firefox PC (Cadmium),Onze homens e um segredo,4,1,,,0 days 00:53:12,
193,0 days 00:00:08,2026-01-02 17:52:15+00:00,Léo,BR (Brazil),00:11:18,Not latest view,,,Firefox PC (Cadmium),Onze homens e um segredo,4,1,,0 days 00:00:08,,
194,0 days 00:23:49,2026-01-02 16:58:30+00:00,Jose,BR (Brazil),00:23:49,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Rojst:  1: Episódio 1 (episódio 1),4,1,,0 days 00:23:49,,
201,0 days 00:04:11,2026-01-02 16:40:30+00:00,Léo,BR (Brazil),00:11:09,Not latest view,,,Firefox PC (Cadmium),Onze homens e um segredo,4,1,,0 days 00:04:11,,
202,0 days 00:10:14,2026-01-02 16:27:25+00:00,Léo,BR (Brazil),00:08:22,Not latest view,,,Firefox PC (Cadmium),Onze homens e um segredo,4,1,,0 days 00:10:14,,
206,0 days 00:03:19,2026-01-02 00:32:07+00:00,Jose,BR (Brazil),00:12:01,00:12:01,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Dupla Jornada,4,1,,,,0 days 00:03:19
208,0 days 00:00:26,2026-01-02 00:30:38+00:00,Jose,BR (Brazil),00:08:47,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Dupla Jornada,4,1,,,,0 days 00:00:26
209,0 days 00:08:25,2026-01-02 00:21:31+00:00,Jose,BR (Brazil),00:08:25,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Dupla Jornada,4,1,,,,0 days 00:08:25
230,0 days 02:02:43,2026-01-01 17:28:13+00:00,Anas,BR (Brazil),02:08:09,02:08:09,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,"Stranger Things: Stranger Things 5: Capítulo oito: O mundo ""direito"" (episódio 8)",3,1,,0 days 02:02:43,,
231,0 days 00:34:48,2026-01-01 16:53:01+00:00,Anas,BR (Brazil),00:34:53,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Isso é um Bolo? Halloween: Temporada 1: Objetos de bruxa (episódio 2),3,1,,0 days 00:34:48,,
232,0 days 00:34:03,2026-01-01 16:07:08+00:00,Anas,BR (Brazil),00:39:16,00:39:16,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Isso é um Bolo? Halloween: Temporada 1: Bolos de matar (episódio 1),3,1,,0 days 00:34:03,,
233,0 days 00:05:24,2026-01-01 07:05:37+00:00,Anas,BR (Brazil),00:05:24,Not latest view,,,LG DTV 2020 RTK K6Lp UHD TV Smart TV,Isso é um Bolo? Halloween: Temporada 1: Bolos de matar (episódio 1),3,1,0 days 00:05:24,,,
235,0 days 01:39:28,2026-01-01 06:15:39+00:00,Léo,BR (Brazil),02:08:13,02:08:13,,,Firefox PC (Cadmium),"Stranger Things: Stranger Things 5: Capítulo oito: O mundo ""direito"" (episódio 8)",3,1,0 days 01:39:28,,,
236,0 days 00:30:56,2026-01-01 03:17:33+00:00,Léo,BR (Brazil),00:28:09,Not latest view,,,Firefox PC (Cadmium),"Stranger Things: Stranger Things 5: Capítulo oito: O mundo ""direito"" (episódio 8)",3,1,,,,0 days 00:30:56
237,0 days 00:03:21,2026-01-01 01:56:03+00:00,Jose,BR (Brazil),00:03:21,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Hanna,3,1,,,,0 days 00:03:21
239,0 days 00:00:05,2026-01-01 01:52:55+00:00,Jose,BR (Brazil),00:00:05,00:00:05,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Homeland: Temporada 1: Piloto (episódio 1),3,1,,,,0 days 00:00:05
241,0 days 00:04:40,2026-01-01 01:46:59+00:00,Jose,BR (Brazil),00:04:40,Not latest view,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,Homeland: Temporada 1: Piloto (episódio 1),3,1,,,,0 days 00:04:40
242,0 days 00:00:11,2025-12-31 19:22:30+00:00,Léo,BR (Brazil),00:07:17,00:07:17,,,Firefox PC (Cadmium),Kill Bill: Vol. 1,2,12,,,0 days 00:00:11,
243,0 days 00:08:44,2025-12-31 18:40:38+00:00,Léo,BR (Brazil),00:07:06,Not latest view,,,Firefox PC (Cadmium),Kill Bill: Vol. 1,2,12,,,0 days 00:08:44,
248,0 days 00:35:57,2025-12-31 17:24:21+00:00,Léo,BR (Brazil),01:44:37,01:44:37,,,Firefox PC (Cadmium),Anjos da lei,2,12,,0 days 00:35:57,,
249,0 days 01:10:47,2025-12-31 01:28:58+00:00,Léo,BR (Brazil),01:08:22,Not latest view,,,Firefox PC (Cadmium),Anjos da lei,2,12,,,,0 days 01:10:47
251,0 days 00:04:26,2025-12-30 22:52:59+00:00,Jose,BR (Brazil),00:05:51,00:05:51,,,Amazon Fire TV Stick 2020 Lite Streaming Stick,The Rising of the Shield Hero: Temporada 2: Despedida na neve (episódio 8),1,12,,,0 days 00:04:26,
