CleanTitle,Profile Name,WatchedTime,watched_time_dawn,watched_time_morning,watched_time_afternoon,watched_time_night,count_per_title,last_watched_date,first_watched_date,seg_views,ter_views,qua_views,qui_views,sex_views,sab_views,dom_views,jan_views,fev_views,mar_views,abr_views,mai_views,jun_views,jul_views,ago_views,set_views,out_views,nov_views,dez_views,netflix_title,title,genre_ids,poster_path,media_type,popularity,age_of_title,vote_average,vote_count,run_time,num_seasons,origin_country,keywords,director,content_rating,is_natalino,is_super_heroi,is_dorama,is_kids,is_dystopian,is_based_on_book,is_anime,nota,avg_duration_per_session,day_between
intensivão de amor,Anas,0 days 19:37:29,0 days 06:26:46,0 days 00:00:00,0 days 02:15:22,0 days 10:55:21,39,,,10,12,4,3,7,2,1,0,0,36,3,0,0,0,0,0,0,0,0,intensivão de amor,Intensivão de Amor,"[18, 35]",https://image.tmdb.org/t/p/w500/aNPCGqweuLBfaaN0r802fq1v3TG.jpg,tv,7.9508,3,8.19,121,[73],1,['KR'],"['education', 'high school', 'entrance examination', 'romcom', 'rivalry', 'romance', 'university', 'mental illness', 'older woman younger man relationship', 'opposites attract', 'romantic']",-1,-1,0,0,1,0,0,0,0,5.6,0 days 00:30:11.512820512,
black mirror,Jose,0 days 19:26:33,0 days 00:37:20,0 days 01:08:46,0 days 03:50:10,0 days 13:50:17,46,,,11,3,9,5,13,0,5,0,0,0,0,0,0,31,0,0,15,0,0,black mirror,Black Mirror,"[10765, 18, 9648]",https://image.tmdb.org/t/p/w500/aCTL24B8ZuiI2osMwoUI5rqBXoF.jpg,tv,78.3666,15,8.281,6045,,7,['GB'],"['technology', 'dystopia', 'satire', 'anthology', 'dark comedy', 'punishment', 'social satire', 'alternative reality', 'humanity', 'nervous', 'cyber thriller', 'near future', 'social sci-fi', 'negative', 'horror', 'crime', 'callous']",-1,5,0,0,0,0,1,0,0,5.6,0 days 00:25:21.586956521,
sorriso real,Anas,0 days 18:39:33,0 days 02:46:30,0 days 00:00:00,0 days 06:37:59,0 days 09:15:04,37,,,2,7,6,7,3,3,9,0,1,36,0,0,0,0,0,0,0,0,0,sorriso real,Sorriso Real,"[18, 35]",https://image.tmdb.org/t/p/w500/bvUvdwfeDBlyb9sg85FulzGZs0P.jpg,tv,17.9498,3,8.191,584,[71],1,['KR'],"['hotel', 'workplace', 'romcom', 'romance', 'opposites attract', 'intern', 'rich man poor woman', 'pretending to be poor', 'smile', 'enemies to lovers', 'chaebol', 'hilarious']",-1,3,0,0,1,0,0,0,0,5.6,0 days 00:30:15.486486486,
strong girl nam-soon,Anas,0 days 16:48:43,0 days 00:45:35,0 days 00:00:00,0 days 13:53:52,0 days 02:09:16,29,,,0,12,5,3,0,6,3,0,0,29,0,0,0,0,0,0,0,0,0,strong girl nam-soon,Strong Girl Nam-soon,"[35, 18, 10765, 80]",https://image.tmdb.org/t/p/w500/ktB3epuAUGjVE6te7udTUAHBuv2.jpg,tv,10.7545,3,7.7,143,[60],1,['KR'],"['grandparent grandchild relationship', 'drug crime', 'strong woman', 'mongolia', 'spin off', 'superhuman strength', 'ancestor', 'mother daughter relationship', 'super vision', 'super fast']",-1,3,0,0,1,0,0,0,0,5.6,0 days 00:34:47,
samurai x,Jose,0 days 16:01:03,0 days 03:38:32,0 days 00:47:29,0 days 03:21:22,0 days 08:13:40,67,,,0,19,13,17,3,15,0,0,0,0,0,0,0,0,0,0,0,0,67,samurai x,Samurai X,"[10759, 16, 35]",https://image.tmdb.org/t/p/w500/qYBFkIAlFCup6IqGXAvVwUHHwjG.jpg,tv,28.4581,30,8.528,797,[25],3,['JP'],"['assassin', 'samurai', 'exile', 'romance', 'historical', 'shinsengumi', 'shounen', 'anime', 'meiji period', 'wandering', 'bushi', 'bakumatsu', 'ishin shishi', 'kasei culture']",-1,3,0,0,0,0,0,0,1,5.6,0 days 00:14:20.641791044,
beijo explosivo,Anas,0 days 15:16:25,0 days 06:40:52,0 days 00:00:00,0 days 01:26:40,0 days 07:08:53,27,,,3,4,2,3,1,11,3,2,0,0,0,0,0,0,0,0,0,0,25,beijo explosivo,Beijo Explosivo,"[18, 35]",https://image.tmdb.org/t/p/w500/5mwXFtzIiSuMq2ja5QFDgtumRWI.jpg,tv,13.0176,1,8.041,73,[68],1,['KR'],"['romcom', 'employer employee relationship']",-1,-1,0,0,1,0,0,0,0,5.6,0 days 00:33:56.481481481,
garota de fora,Anas,0 days 14:19:39,0 days 00:01:41,0 days 00:27:53,0 days 06:50:31,0 days 06:59:34,28,,,5,0,3,15,1,4,0,0,0,0,28,0,0,0,0,0,0,0,0,garota de fora,Garota de Fora,"[18, 9648, 80]",https://image.tmdb.org/t/p/w500/nhuhxiVTm1EvhLkjAy2ywdDE1PA.jpg,tv,29.4156,8,8.503,922,,2,['TH'],"['rape', 'supernatural', 'high school', 'bullying', 'anthology', 'revenge', 'murder', 'betrayal', 'gore', 'school', 'death', 'social issues', 'transfer student', 'extreme violence', 'psychological horror']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:30:42.107142857,
quando o telefone toca,Anas,0 days 13:35:16,0 days 00:02:27,0 days 00:00:00,0 days 09:37:31,0 days 03:55:18,18,,,2,1,10,2,1,2,0,0,0,18,0,0,0,0,0,0,0,0,0,quando o telefone toca,Quando o Telefone Toca,"[18, 9648, 80]",https://image.tmdb.org/t/p/w500/jF0jc4GiLoA2UxTurcCh1ED3akU.jpg,tv,8.7612,2,8.4,277,[70],1,['KR'],"['kidnapping', 'arranged marriage', 'romance', 'opposites attract', 'hidden identity', 'sign languages', 'rich family', 'loving', 'bittersweet', 'age-gap relationship', 'enemies to lovers', 'suspense', 'grand', 'contract relationship', 'mystery', 'thriller', 'drama', 'based on web novel', 'romantic', 'excited']",-1,3,0,0,1,0,0,0,0,5.6,0 days 00:45:17.555555555,
dexter,Jose,0 days 13:19:28,0 days 01:26:53,0 days 00:00:00,0 days 00:49:50,0 days 11:02:45,29,,,0,1,6,12,0,5,5,0,0,0,0,0,0,0,0,0,18,11,0,dexter,Dexter,"[80, 18, 9648]",https://image.tmdb.org/t/p/w500/f1nV5NBIFwfQLw5g8FVrdt90FAy.jpg,tv,132.8129,20,8.226,5328,[60],8,['US'],"['miami, florida', 'based on novel or book', 'double life', 'homicide', 'vigilante', 'murder', 'serial killer', 'psychological thriller', 'killer', 'forensic science', 'murder investigation', 'crime investigation', 'dark secret', 'police department', 'neo-noir', 'dark', 'police procedural', 'psychological drama', 'violence', 'thriller']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:27:34.068965517,
arcane,Léo,0 days 12:06:52,0 days 02:54:40,0 days 00:00:00,0 days 03:51:04,0 days 05:21:08,45,,,6,4,9,13,5,5,3,0,0,0,0,0,0,0,0,45,0,0,0,arcane,Arcane,"[16, 10759]",https://image.tmdb.org/t/p/w500/m3Tzf6k537PnhOEwaSRNCSxedLS.jpg,tv,48.744,5,8.752,5751,,2,['US'],"['magic', 'war of independence', 'class differences', 'battle', 'based on video game', 'death in family', 'adult animation', 'warrior', 'broken family', 'war', '3d animation', 'sisters', 'web series', 'power', 'amused', 'assertive', 'baffled']",-1,3,0,0,0,0,0,0,0,3.0,0 days 00:16:09.155555555,
sandman,Jose,0 days 11:54:23,0 days 00:00:00,0 days 03:33:12,0 days 01:29:05,0 days 06:52:06,29,,,3,9,9,1,5,2,0,0,0,0,0,0,0,27,1,1,0,0,0,sandman,Sandman,"[10765, 18, 10759]",https://image.tmdb.org/t/p/w500/5k1PlMiep3mg1BwIc7P4RZlu3WI.jpg,tv,65.3097,4,7.878,2524,,2,['US'],"['dreams', 'mythology', 'nightmare', 'superhero', 'based on comic', 'based on graphic novel', 'witchcraft', 'raven', 'dark fantasy', 'imaginative', 'dark', 'fantasy']",-1,5,0,1,0,0,0,1,0,5.6,0 days 00:24:38.034482758,
recruta,Anas,0 days 11:37:56,0 days 05:10:41,0 days 00:00:00,0 days 01:39:28,0 days 04:47:47,29,,,4,12,6,7,0,0,0,1,0,0,0,0,0,0,0,0,0,27,1,recruta,Recruta,"[18, 80, 10759]",https://image.tmdb.org/t/p/w500/eT8Q1qqxuF0KXU5xF1uSQOPOagm.jpg,tv,12.9218,4,7.456,444,,2,['US'],"['central intelligence agency (cia)', 'lawyer']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:24:04,
love alarm,Anas,0 days 11:37:04,0 days 01:49:14,0 days 00:00:00,0 days 04:26:25,0 days 05:21:25,22,,,9,2,7,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,love alarm,Love Alarm Clap! Clap! Clap!,[10764],https://image.tmdb.org/t/p/w500/44iLo52v84zmPLZLYv7hCNVxzKx.jpg,tv,1.6452,4,6.8,4,[45],1,['KR'],"['romance', 'dating show', ""girls' love (gl)""]",-1,-1,0,0,1,0,0,0,0,5.6,0 days 00:31:41.090909090,
love 101,Anas,0 days 11:18:37,0 days 04:20:50,0 days 00:00:00,0 days 02:19:47,0 days 04:38:00,22,,,4,4,0,0,0,7,7,22,0,0,0,0,0,0,0,0,0,0,0,love 101,Love 101,"[35, 18]",https://image.tmdb.org/t/p/w500/l6pLzAgUU2QpJ6KlsReqSqwWnfa.jpg,tv,4.1103,6,7.764,191,[45],2,['TR'],"['friendship', 'love', 'misfit', 'romance', 'matchmaking', 'school', 'drunk', 'teenage romance', '1990s']",-1,5,0,0,0,0,0,0,0,0.0,0 days 00:30:50.772727272,
the rising of the shield hero,Jose,0 days 10:46:53,0 days 00:56:40,0 days 00:00:00,0 days 02:27:45,0 days 07:22:28,47,,,0,4,13,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,47,the rising of the shield hero,The Rising of the Shield Hero,"[16, 10759, 10765, 18]",https://image.tmdb.org/t/p/w500/yX0d6aTjHrE5Sjp6gZ1dkPWCmIF.jpg,tv,17.6474,7,8.504,1527,[24],5,['JP'],"['saving the world', 'anti hero', 'magic', 'slavery', 'training', 'romance', 'dysfunctional family', 'betrayal', 'religion', 'sibling rivalry', 'dragon', 'parallel world', 'dark fantasy', 'seinen', 'summons', 'anime', 'corrupt church', 'isekai', 'fantasy', 'based on light novel', 'adventure', 'dungeon crawling']",-1,3,0,0,0,0,0,0,1,5.6,0 days 00:13:45.808510638,
one-punch man,Jose,0 days 10:38:53,0 days 00:16:35,0 days 00:00:00,0 days 00:18:48,0 days 10:03:30,52,,,11,24,5,1,1,4,6,0,0,0,0,0,0,0,0,0,34,3,15,one-punch man,One-Punch Man,"[16, 35, 10759, 10765]",https://image.tmdb.org/t/p/w500/a8BknzvFVK5EZ83rKg1a83iwaj0.jpg,tv,41.0702,11,8.381,4037,[24],3,['JP'],"['cyborg', 'martial arts', 'monster', 'karate', 'supernatural', 'superhero', 'parody', 'giant monster', 'social commentary', 'based on manga', 'alien invasion', 'fighting', 'super power', 'seinen', 'anime', 'philosophical', 'joyous', 'witty', 'hilarious', 'amused', 'exhilarated', 'joyful', 'optimistic', 'sympathetic']",-1,1,0,1,0,0,0,1,1,5.6,0 days 00:12:17.173076923,
classe dos heróis fracos,Anas,0 days 10:01:30,0 days 00:00:00,0 days 00:00:00,0 days 09:11:49,0 days 00:49:41,21,,,0,0,12,0,0,7,2,0,0,8,13,0,0,0,0,0,0,0,0,classe dos heróis fracos,Classe dos Heróis Fracos,"[10759, 18]",https://image.tmdb.org/t/p/w500/kZeJeV8L3WlVp3L6DZS0WaDelfj.jpg,tv,45.8295,4,8.641,368,[84],2,['KR'],"['fight', 'male friendship', 'friendship', 'bullying', 'gang', 'bromance', 'high school student', 'skilled fighter', 'based on webcomic or webtoon', 'youth', 'school bullying', 'violence', 'thriller']",-1,5,0,0,1,0,0,0,0,5.6,0 days 00:28:38.571428571,
casamento às cegas,ANA PAULA AMORIM,0 days 09:04:39,0 days 04:44:10,0 days 00:00:00,0 days 00:00:00,0 days 04:20:29,17,,,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,4,13,0,casamento às cegas,Casamento às Cegas,[10764],https://image.tmdb.org/t/p/w500/2L2Pxbq1g4atpHFFMOACqzr8I6X.jpg,tv,18.8754,6,6.2,102,,10,['US'],"['blind date', 'engagement', 'single', 'love', 'wedding', 'falling in love', 'dating show', 'social experiment', 'single ladies', 'single men']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:32:02.294117647,
"bon appétit, vossa majestade",Anas,0 days 08:57:34,0 days 03:49:47,0 days 00:00:00,0 days 02:01:32,0 days 03:06:15,20,,,6,2,1,6,0,2,3,0,0,0,0,0,0,0,0,7,12,1,0,"bon appétit, vossa majestade","Bon Appétit, Vossa Majestade","[18, 10765]",https://image.tmdb.org/t/p/w500/ixa2K64Cf0ewYaW8hY8kjqiYq4v.jpg,tv,14.2635,1,8.745,208,[80],1,['KR'],"['based on novel or book', 'time travel', 'romcom', 'miniseries', 'chef', 'french cuisine', 'joseon dynasty (1392–1910)', 'complex', 'korean cuisine', 'intense', 'romantic']",-1,3,0,0,1,0,0,0,0,5.6,0 days 00:26:52.700000,
"novo rico, novo pobre",Anas,0 days 08:32:35,0 days 02:48:17,0 days 00:00:00,0 days 01:22:56,0 days 04:21:22,20,,,2,4,1,4,3,4,2,0,0,0,0,0,14,6,0,0,0,0,0,"novo rico, novo pobre","Novo Rico, Novo Pobre","[18, 10751, 35]",https://image.tmdb.org/t/p/w500/4JVS2313zA630RS4U6oDjkD774V.jpg,tv,1.8386,1,6.846,13,,1,['CO'],[],-1,-1,0,0,0,0,0,0,0,5.6,0 days 00:25:37.750000,
"com carinho, kitty",Anas,0 days 08:24:38,0 days 02:09:11,0 days 00:00:00,0 days 01:25:46,0 days 04:49:41,28,,,0,1,6,9,5,7,0,0,28,0,0,0,0,0,0,0,0,0,0,"com carinho, kitty","Com Carinho, Kitty","[35, 18]",https://image.tmdb.org/t/p/w500/5CDVvBVSXGUp9mnElkkclauEtgK.jpg,tv,31.4189,3,8.06,589,,3,['US'],"['based on novel or book', 'affectation', 'high school', 'romcom', 'romance', 'spin off', 'high school student', 'first love', 'lgbt', 'study abroad', 'gay theme', 'korean', 'international student', 'seoul, south korea', 'campus romance', 'charming', 'hilarious', 'amused']",-1,3,0,0,0,0,0,0,0,5.6,0 days 00:18:01.357142857,
"love, death & robots",Jose,0 days 08:17:15,0 days 00:45:44,0 days 00:38:24,0 days 05:27:03,0 days 01:26:04,57,,,1,0,0,30,25,0,1,0,0,0,0,0,0,30,24,0,2,1,0,"love, death & robots","Love, Death & Robots","[16, 10765]",https://image.tmdb.org/t/p/w500/vL5BQvXH96cJzmNK5n7QliQxy90.jpg,tv,32.1289,7,8.213,3905,,4,['US'],"['explosive', 'grave', 'love', 'anthology', 'murder', 'gore', 'survival', 'cyberpunk', 'apocalypse', 'robot', 'death', 'based on short story', 'adult animation', 'military', 'meditative', 'wonder', 'spaceship', 'science fiction', 'robots', 'provocative', 'horror', 'thriller', 'sentimental', 'hilarious', 'adoring', 'instructive', 'dystopian']",-1,5,0,0,0,0,0,0,0,2.0,0 days 00:08:43.421052631,
ninguém quer,Anas,0 days 08:03:12,0 days 01:26:14,0 days 00:00:00,0 days 02:09:51,0 days 04:27:07,23,,,8,5,7,3,0,0,0,0,0,0,0,0,0,12,0,0,11,0,0,ninguém quer,Ninguém Quer,"[35, 18]",https://image.tmdb.org/t/p/w500/k7C7oDwPSikpwgYim7LFAzBhMA4.jpg,tv,13.9801,2,7.409,254,,2,['US'],"['rabbi', 'romcom', 'romance', 'los angeles, california', 'opposites attract', 'agnostic', 'podcaster', 'heartfelt', 'offbeat', 'romantic']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:21:00.521739130,
um espião infiltrado,Anas,0 days 07:45:17,0 days 02:02:50,0 days 00:00:00,0 days 01:33:44,0 days 04:08:43,27,,,4,2,6,3,2,5,5,0,0,0,0,0,0,0,17,0,0,10,0,um espião infiltrado,Um Espião Infiltrado,"[35, 80]",https://image.tmdb.org/t/p/w500/exFenxQqLFgH0sGrlFN44qvOKq7.jpg,tv,11.8156,2,7.477,196,,2,['US'],"['spy', 'san francisco, california', 'amateur detective', 'parenthood', 'private investigator', 'retirement community', 'undercover operation', 'based on movie', 'sitcom', 'father daughter relationship', 'heartfelt', 'witty', 'elderly widower', 'retired professor']",-1,3,0,0,0,0,0,0,0,5.6,0 days 00:17:13.962962962,
assassinato na casa branca,Anas,0 days 07:10:15,0 days 02:41:24,0 days 00:00:00,0 days 00:58:33,0 days 03:30:18,16,,,4,1,5,2,4,0,0,0,0,0,0,0,0,0,10,6,0,0,0,assassinato na casa branca,Assassinato na Casa Branca,[35],https://image.tmdb.org/t/p/w500/i6qjMuyZTkc7ExwSrRNRwu3UXSa.jpg,tv,14.6709,1,7.555,292,,1,['US'],"['detective', 'based on novel or book', 'the white house', 'anthology', 'murder', 'whodunit', 'dramedy', 'murder mystery', 'thoughtful', 'complex', 'introspective', 'suspenseful', 'admiring', 'appreciative', 'compassionate', 'dignified', 'earnest', 'empathetic']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:26:53.437500,
corpos,Jose,0 days 07:07:41,0 days 00:00:00,0 days 01:25:28,0 days 00:50:36,0 days 04:51:37,16,,,2,0,0,0,1,12,1,0,0,0,0,0,0,0,16,0,0,0,0,corpos,O Problema dos 3 Corpos,"[10765, 9648, 18]",https://image.tmdb.org/t/p/w500/aqM8F5q59Z7sKAxKNXOKsu0rEJJ.jpg,tv,23.6444,2,7.462,1419,,1,['US'],"['china', 'based on novel or book', 'scientist', 'alien invasion', 'alien contact', 'signal', '1960s', 'thoughtful', 'alien civilization', 'imaginative', 'anxious', 'inspirational', 'cerebral', 'secret', 'thriller']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:26:43.812500,
wandinha,Anas,0 days 06:56:04,0 days 00:18:09,0 days 00:00:00,0 days 03:17:50,0 days 03:20:05,11,,,0,0,4,0,2,0,5,0,0,0,0,0,0,0,7,4,0,0,0,wandinha,Wandinha,"[10765, 9648, 35]",https://image.tmdb.org/t/p/w500/7rxiQrZjrer0RB9qNA8rHYFo53R.jpg,tv,61.5564,4,8.352,10379,,3,['US'],"['witch', 'friendship', 'teenage girl', 'gothic', 'macabre', 'dark fantasy', 'goth girls', 'academy', 'introspective', 'intimate', 'adoring', 'gloomy', 'based on comic strip']",-1,3,0,0,0,0,0,0,0,5.6,0 days 00:37:49.454545454,
1899,Jose,0 days 06:53:23,0 days 01:19:03,0 days 01:23:59,0 days 01:02:02,0 days 03:08:19,14,,,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,14,0,0,1899,1899,"[9648, 18]",https://image.tmdb.org/t/p/w500/qmpUDEgZawIlDU5HP3IJ9HjnpI3.jpg,tv,7.0886,4,7.483,1465,,1,['DE'],"['sea', 'immigration', 'atlantic ocean', 'ship', 'dystopia', 'bermuda triangle', 'triangle', 'mind game', '19th century', 'psychological', 'new encounter', 'old continent', 'secrets', 'thriller', 'adventure']",-1,5,0,0,0,0,1,0,0,0.0,0 days 00:29:31.642857142,
hierarchy,Anas,0 days 06:52:05,0 days 00:00:00,0 days 00:00:00,0 days 06:41:15,0 days 00:10:50,11,,,0,0,0,1,0,6,4,0,1,10,0,0,0,0,0,0,0,0,0,hierarchy,Hierarquia do Crime,"[28, 80, 53]",https://image.tmdb.org/t/p/w500/vMVnLjbHy5yxJL5Pr0dikIUmG34.jpg,movie,12.8347,1,5.705,22,97,,['US'],[],-1,-1,0,0,0,0,0,0,0,5.6,0 days 00:37:27.727272727,
caleidoscópio,Léo,0 days 06:42:41,0 days 01:08:55,0 days 00:00:00,0 days 01:54:20,0 days 03:39:26,23,,,9,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,caleidoscópio,Caleidoscópio,"[80, 18]",https://image.tmdb.org/t/p/w500/ruuqKu320BcKganFoOITKjyU6WH.jpg,tv,7.8546,3,6.834,458,,1,['US'],"['heist', 'miniseries']",-1,5,0,0,0,0,0,0,0,5.6,0 days 00:17:30.478260869,
