CleanTitle,Profile Name,WatchedTime,watched_time_dawn,watched_time_morning,watched_time_afternoon,watched_time_night,count_per_title,last_watched_date,first_watched_date,seg_views,ter_views,qua_views,qui_views,sex_views,sab_views,dom_views,jan_views,fev_views,mar_views,abr_views,mai_views,jun_views,jul_views,ago_views,set_views,out_views,nov_views,dez_views,netflix_title,title,genre_ids,poster_path,media_type,popularity,age_of_title,vote_average,vote_count,run_time,num_seasons,origin_country,keywords,director,content_rating,is_natalino,is_super_heroi,is_dorama,is_kids,is_dystopian,is_based_on_book,is_anime,nota,avg_duration_per_session,day_between,is_tv,is_in_list,has_rated,engagement_score,is_mature,watched_time
intensivão de amor,Anas,0 days 19:37:29,23206.0,0.0,8122.0,39321.0,39,,,10,12,4,3,7,2,1,0,0,36,3,0,0,0,0,0,0,0,0,intensivão de amor,Intensivão de Amor,"[18, 35]",https://image.tmdb.org/t/p/w500/aNPCGqweuLBfaaN0r802fq1v3TG.jpg,tv,8.219,3,8.2,121,[73],1,['KR'],"['education', 'high school', 'entrance examination', 'romcom', 'rivalry', 'romance', 'university', 'mental illness', 'older woman younger man relationship', 'opposites attract', 'romantic']",-1,-1,0,0,1,0,0,0,0,5.9865079365079366,0 days 00:30:11.512820512,,1,0,0,7.993253968253969,0,70649.0
black mirror,Jose,0 days 19:26:33,2240.0,4126.0,13810.0,49817.0,46,,,11,3,9,5,13,0,5,0,0,0,0,0,0,31,0,0,15,0,0,black mirror,Black Mirror,"[10765, 18, 9648]",https://image.tmdb.org/t/p/w500/aCTL24B8ZuiI2osMwoUI5rqBXoF.jpg,tv,90.8173,15,8.282,6064,,7,['GB'],"['technology', 'dystopia', 'satire', 'anthology', 'dark comedy', 'punishment', 'social satire', 'alternative reality', 'humanity', 'nervous', 'cyber thriller', 'near future', 'social sci-fi', 'negative', 'horror', 'crime', 'callous']",-1,5,0,0,0,0,1,0,0,5.9865079365079366,0 days 00:25:21.586956521,,1,1,0,7.993253968253969,1,69993.0
sorriso real,Anas,0 days 18:39:33,9990.0,0.0,23879.0,33304.0,37,,,2,7,6,7,3,3,9,0,1,36,0,0,0,0,0,0,0,0,0,sorriso real,Sorriso Real,"[18, 35]",https://image.tmdb.org/t/p/w500/bvUvdwfeDBlyb9sg85FulzGZs0P.jpg,tv,18.4021,3,8.2,584,[71],1,['KR'],"['hotel', 'workplace', 'romcom', 'romance', 'opposites attract', 'intern', 'rich man poor woman', 'pretending to be poor', 'smile', 'enemies to lovers', 'chaebol', 'hilarious']",-1,3,0,0,1,0,0,0,0,5.9865079365079366,0 days 00:30:15.486486486,,1,0,0,7.993253968253969,1,67173.0
strong girl nam-soon,Anas,0 days 16:48:43,2735.0,0.0,50032.0,7756.0,29,,,0,12,5,3,0,6,3,0,0,29,0,0,0,0,0,0,0,0,0,strong girl nam-soon,Strong Girl Nam-soon,"[35, 18, 10765, 80]",https://image.tmdb.org/t/p/w500/ktB3epuAUGjVE6te7udTUAHBuv2.jpg,tv,10.1968,3,7.7,143,[60],1,['KR'],"['grandparent grandchild relationship', 'drug crime', 'strong woman', 'mongolia', 'spin off', 'superhuman strength', 'ancestor', 'mother daughter relationship', 'super vision', 'super fast']",-1,3,0,0,1,0,0,0,0,5.9865079365079366,0 days 00:34:47,,1,0,0,7.993253968253969,1,60523.0
samurai x,Jose,0 days 16:01:03,13112.0,2849.0,12082.0,29620.0,67,,,0,19,13,17,3,15,0,0,0,0,0,0,0,0,0,0,0,0,67,samurai x,Samurai X,"[10759, 16, 35]",https://image.tmdb.org/t/p/w500/qYBFkIAlFCup6IqGXAvVwUHHwjG.jpg,tv,37.5556,30,8.5,797,[25],3,['JP'],"['assassin', 'samurai', 'exile', 'romance', 'historical', 'shinsengumi', 'shounen', 'anime', 'meiji period', 'wandering', 'bushi', 'bakumatsu', 'ishin shishi', 'kasei culture']",-1,3,0,0,0,0,0,0,1,5.9865079365079366,0 days 00:14:20.641791044,,1,0,0,7.993253968253969,1,57663.0
beijo explosivo,Anas,0 days 15:16:25,24052.0,0.0,5200.0,25733.0,27,,,3,4,2,3,1,11,3,2,0,0,0,0,0,0,0,0,0,0,25,beijo explosivo,Beijo Explosivo,"[18, 35]",https://image.tmdb.org/t/p/w500/5mwXFtzIiSuMq2ja5QFDgtumRWI.jpg,tv,16.2299,1,8.1,77,[68],1,['KR'],"['romcom', 'employer employee relationship']",-1,-1,0,0,1,0,0,0,0,5.9865079365079366,0 days 00:33:56.481481481,,1,0,0,7.993253968253969,0,54985.0
garota de fora,Anas,0 days 14:19:39,101.0,1673.0,24631.0,25174.0,28,,,5,0,3,15,1,4,0,0,0,0,28,0,0,0,0,0,0,0,0,garota de fora,Garota de Fora,"[18, 9648, 80]",https://image.tmdb.org/t/p/w500/nhuhxiVTm1EvhLkjAy2ywdDE1PA.jpg,tv,27.6073,8,8.503,927,,2,['TH'],"['rape', 'supernatural', 'high school', 'bullying', 'anthology', 'revenge', 'murder', 'betrayal', 'gore', 'school', 'death', 'social issues', 'transfer student', 'extreme violence', 'psychological horror']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:30:42.107142857,,1,0,0,7.993253968253969,1,51579.0
quando o telefone toca,Anas,0 days 13:35:16,147.0,0.0,34651.0,14118.0,18,,,2,1,10,2,1,2,0,0,0,18,0,0,0,0,0,0,0,0,0,quando o telefone toca,Quando o Telefone Toca,"[18, 9648, 80]",https://image.tmdb.org/t/p/w500/jF0jc4GiLoA2UxTurcCh1ED3akU.jpg,tv,11.2395,2,8.4,277,[70],1,['KR'],"['kidnapping', 'arranged marriage', 'romance', 'opposites attract', 'hidden identity', 'sign languages', 'rich family', 'loving', 'bittersweet', 'age-gap relationship', 'enemies to lovers', 'suspense', 'grand', 'contract relationship', 'mystery', 'thriller', 'drama', 'based on web novel', 'romantic', 'excited']",-1,3,0,0,1,0,0,0,0,5.9865079365079366,0 days 00:45:17.555555555,,1,0,0,7.993253968253969,1,48916.0
dexter,Jose,0 days 13:19:28,5213.0,0.0,2990.0,39765.0,29,,,0,1,6,12,0,5,5,0,0,0,0,0,0,0,0,0,18,11,0,dexter,Dexter,"[80, 18, 9648]",https://image.tmdb.org/t/p/w500/f1nV5NBIFwfQLw5g8FVrdt90FAy.jpg,tv,154.5557,20,8.227,5358,[60],8,['US'],"['miami, florida', 'based on novel or book', 'double life', 'homicide', 'vigilante', 'murder', 'serial killer', 'psychological thriller', 'killer', 'forensic science', 'murder investigation', 'crime investigation', 'dark secret', 'police department', 'neo-noir', 'dark', 'police procedural', 'psychological drama', 'violence', 'thriller']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:27:34.068965517,,1,1,0,7.993253968253969,1,47968.0
arcane,Léo,0 days 12:06:52,10480.0,0.0,13864.0,19268.0,45,,,6,4,9,13,5,5,3,0,0,0,0,0,0,0,0,45,0,0,0,arcane,Arcane,"[16, 10759]",https://image.tmdb.org/t/p/w500/m3Tzf6k537PnhOEwaSRNCSxedLS.jpg,tv,51.1289,5,8.754,5774,,2,['US'],"['magic', 'war of independence', 'class differences', 'battle', 'based on video game', 'death in family', 'adult animation', 'warrior', 'broken family', 'war', '3d animation', 'sisters', 'web series', 'power', 'amused', 'assertive', 'baffled']",-1,3,0,0,0,0,0,0,0,10.0,0 days 00:16:09.155555555,,1,1,1,10.0,1,43612.0
sandman,Jose,0 days 11:54:23,0.0,12792.0,5345.0,24726.0,29,,,3,9,9,1,5,2,0,0,0,0,0,0,0,27,1,1,0,0,0,sandman,Sandman,"[10765, 18, 10759]",https://image.tmdb.org/t/p/w500/5k1PlMiep3mg1BwIc7P4RZlu3WI.jpg,tv,80.6824,4,7.873,2543,,2,['US'],"['dreams', 'mythology', 'nightmare', 'superhero', 'based on comic', 'based on graphic novel', 'witchcraft', 'raven', 'dark fantasy', 'mysterious', 'imaginative', 'complex', 'dark', 'fantasy', 'complicated', 'gloomy']",-1,5,0,1,0,0,0,1,0,5.9865079365079366,0 days 00:24:38.034482758,,1,0,0,7.993253968253969,1,42863.0
recruta,Anas,0 days 11:37:56,18641.0,0.0,5968.0,17267.0,29,,,4,12,6,7,0,0,0,1,0,0,0,0,0,0,0,0,0,27,1,recruta,Recruta,"[18, 80, 10759]",https://image.tmdb.org/t/p/w500/eT8Q1qqxuF0KXU5xF1uSQOPOagm.jpg,tv,12.9687,4,7.454,446,,2,['US'],"['central intelligence agency (cia)', 'lawyer']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:24:04,,1,0,0,7.993253968253969,1,41876.0
love alarm,Anas,0 days 11:37:04,6554.0,0.0,15985.0,19285.0,22,,,9,2,7,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,love alarm,Love Alarm Clap! Clap! Clap!,[10764],https://image.tmdb.org/t/p/w500/44iLo52v84zmPLZLYv7hCNVxzKx.jpg,tv,2.0532,4,6.8,4,[45],1,['KR'],"['romance', 'dating show', ""girls' love (gl)""]",-1,-1,0,0,1,0,0,0,0,5.9865079365079366,0 days 00:31:41.090909090,,1,0,0,7.993253968253969,0,41824.0
love 101,Anas,0 days 11:18:37,15650.0,0.0,8387.0,16680.0,22,,,4,4,0,0,0,7,7,22,0,0,0,0,0,0,0,0,0,0,0,love 101,Love 101,"[35, 18]",https://image.tmdb.org/t/p/w500/l6pLzAgUU2QpJ6KlsReqSqwWnfa.jpg,tv,5.9769,6,7.8,191,[45],2,['TR'],"['friendship', 'love', 'misfit', 'romance', 'matchmaking', 'school', 'drunk', 'teenage romance', '1990s']",-1,5,0,0,0,0,0,0,0,0.0,0 days 00:30:50.772727272,,1,0,1,5.0,1,40717.0
the rising of the shield hero,Jose,0 days 10:46:53,3400.0,0.0,8865.0,26548.0,47,,,0,4,13,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,47,the rising of the shield hero,The Rising of the Shield Hero,"[16, 10759, 10765, 18]",https://image.tmdb.org/t/p/w500/yX0d6aTjHrE5Sjp6gZ1dkPWCmIF.jpg,tv,20.5134,7,8.505,1532,[24],5,['JP'],"['saving the world', 'anti hero', 'magic', 'slavery', 'training', 'romance', 'dysfunctional family', 'betrayal', 'religion', 'sibling rivalry', 'dragon', 'parallel world', 'dark fantasy', 'seinen', 'summons', 'anime', 'corrupt church', 'isekai', 'fantasy', 'based on light novel', 'adventure', 'dungeon crawling']",-1,3,0,0,0,0,0,0,1,5.9865079365079366,0 days 00:13:45.808510638,,1,0,0,7.993253968253969,1,38813.0
one-punch man,Jose,0 days 10:38:53,995.0,0.0,1128.0,36210.0,52,,,11,24,5,1,1,4,6,0,0,0,0,0,0,0,0,0,34,3,15,one-punch man,One-Punch Man,"[16, 35, 10759, 10765]",https://image.tmdb.org/t/p/w500/a8BknzvFVK5EZ83rKg1a83iwaj0.jpg,tv,37.0241,11,8.379,4048,[24],3,['JP'],"['cyborg', 'martial arts', 'monster', 'karate', 'supernatural', 'superhero', 'parody', 'giant monster', 'social commentary', 'based on manga', 'alien invasion', 'fighting', 'super power', 'seinen', 'anime', 'philosophical', 'joyous', 'witty', 'hilarious', 'amused', 'exhilarated', 'joyful', 'optimistic', 'sympathetic']",-1,1,0,1,0,0,0,1,1,5.9865079365079366,0 days 00:12:17.173076923,,1,0,0,7.993253968253969,0,38333.0
classe dos heróis fracos,Anas,0 days 10:01:30,0.0,0.0,33109.0,2981.0,21,,,0,0,12,0,0,7,2,0,0,8,13,0,0,0,0,0,0,0,0,classe dos heróis fracos,Classe dos Heróis Fracos,"[10759, 18]",https://image.tmdb.org/t/p/w500/kZeJeV8L3WlVp3L6DZS0WaDelfj.jpg,tv,43.596,4,8.64,372,[84],2,['KR'],"['fight', 'male friendship', 'friendship', 'bullying', 'gang', 'bromance', 'high school student', 'skilled fighter', 'based on webcomic or webtoon', 'youth', 'school bullying', 'violence', 'thriller']",-1,5,0,0,1,0,0,0,0,5.9865079365079366,0 days 00:28:38.571428571,,1,0,0,7.993253968253969,1,36090.0
casamento às cegas,ANA PAULA AMORIM,0 days 09:04:39,17050.0,0.0,0.0,15629.0,17,,,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,4,13,0,casamento às cegas,Casamento às Cegas,[10764],https://image.tmdb.org/t/p/w500/2L2Pxbq1g4atpHFFMOACqzr8I6X.jpg,tv,12.6665,6,6.2,102,,10,['US'],"['blind date', 'engagement', 'single', 'love', 'wedding', 'falling in love', 'dating show', 'social experiment', 'single ladies', 'single men']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:32:02.294117647,,1,0,0,7.993253968253969,1,32679.0
"bon appétit, vossa majestade",Anas,0 days 08:57:34,13787.0,0.0,7292.0,11175.0,20,,,6,2,1,6,0,2,3,0,0,0,0,0,0,0,0,7,12,1,0,"bon appétit, vossa majestade","Bon Appétit, Vossa Majestade","[18, 10765]",https://image.tmdb.org/t/p/w500/ixa2K64Cf0ewYaW8hY8kjqiYq4v.jpg,tv,15.8179,1,8.717,212,[80],1,['KR'],"['based on novel or book', 'time travel', 'romcom', 'miniseries', 'chef', 'french cuisine', 'joseon dynasty (1392–1910)', 'complex', 'korean cuisine', 'intense', 'romantic']",-1,3,0,0,1,0,0,0,0,5.9865079365079366,0 days 00:26:52.700000,,1,0,0,7.993253968253969,1,32254.0
"novo rico, novo pobre",Anas,0 days 08:32:35,10097.0,0.0,4976.0,15682.0,20,,,2,4,1,4,3,4,2,0,0,0,0,0,14,6,0,0,0,0,0,"novo rico, novo pobre","Novo Rico, Novo Pobre","[18, 10751, 35]",https://image.tmdb.org/t/p/w500/4JVS2313zA630RS4U6oDjkD774V.jpg,tv,2.0586,1,6.8,13,,1,['CO'],[],-1,-1,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:25:37.750000,,1,0,0,7.993253968253969,0,30755.0
"com carinho, kitty",Anas,0 days 08:24:38,7751.0,0.0,5146.0,17381.0,28,,,0,1,6,9,5,7,0,0,28,0,0,0,0,0,0,0,0,0,0,"com carinho, kitty","Com Carinho, Kitty","[35, 18]",https://image.tmdb.org/t/p/w500/5CDVvBVSXGUp9mnElkkclauEtgK.jpg,tv,36.7338,3,8.1,593,,3,['US'],"['based on novel or book', 'high school', 'romcom', 'romance', 'spin off', 'high school student', 'first love', 'lgbt', 'study abroad', 'gay theme', 'korean', 'international student', 'seoul, south korea', 'campus romance', 'charming', 'teenager', 'hilarious', 'amused', 'baffled', 'embarrassed']",-1,3,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:18:01.357142857,,1,0,0,7.993253968253969,1,30278.0
"love, death & robots",Jose,0 days 08:17:15,2744.0,2304.0,19623.0,5164.0,57,,,1,0,0,30,25,0,1,0,0,0,0,0,0,30,24,0,2,1,0,"love, death & robots","Love, Death & Robots","[16, 10765]",https://image.tmdb.org/t/p/w500/vL5BQvXH96cJzmNK5n7QliQxy90.jpg,tv,38.8016,7,8.211,3923,,4,['US'],"['explosive', 'grave', 'love', 'anthology', 'murder', 'gore', 'survival', 'cyberpunk', 'apocalypse', 'robot', 'death', 'based on short story', 'adult animation', 'military', 'meditative', 'wonder', 'spaceship', 'science fiction', 'robots', 'provocative', 'horror', 'thriller', 'sentimental', 'hilarious', 'adoring', 'instructive', 'dystopian']",-1,5,0,0,0,0,0,0,0,7.0,0 days 00:08:43.421052631,,1,0,1,8.5,1,29835.0
ninguém quer,Anas,0 days 08:03:12,5174.0,0.0,7791.0,16027.0,23,,,8,5,7,3,0,0,0,0,0,0,0,0,0,12,0,0,11,0,0,ninguém quer,Ninguém Quer,"[35, 18]",https://image.tmdb.org/t/p/w500/k7C7oDwPSikpwgYim7LFAzBhMA4.jpg,tv,13.2245,2,7.408,255,,2,['US'],"['rabbi', 'romcom', 'romance', 'los angeles, california', 'opposites attract', 'agnostic', 'podcaster', 'heartfelt', 'offbeat', 'romantic']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:21:00.521739130,,1,0,0,7.993253968253969,1,28992.0
um espião infiltrado,Anas,0 days 07:45:17,7370.0,0.0,5624.0,14923.0,27,,,4,2,6,3,2,5,5,0,0,0,0,0,0,0,17,0,0,10,0,um espião infiltrado,Um Espião Infiltrado,"[35, 80]",https://image.tmdb.org/t/p/w500/exFenxQqLFgH0sGrlFN44qvOKq7.jpg,tv,14.0483,2,7.483,200,,2,['US'],"['spy', 'san francisco, california', 'amateur detective', 'parenthood', 'private investigator', 'retirement community', 'undercover operation', 'based on movie', 'sitcom', 'father daughter relationship', 'heartfelt', 'witty', 'elderly widower', 'retired professor']",-1,3,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:17:13.962962962,,1,0,0,7.993253968253969,1,27917.0
assassinato na casa branca,Anas,0 days 07:10:15,9684.0,0.0,3513.0,12618.0,16,,,4,1,5,2,4,0,0,0,0,0,0,0,0,0,10,6,0,0,0,assassinato na casa branca,Assassinato na Casa Branca,[35],https://image.tmdb.org/t/p/w500/i6qjMuyZTkc7ExwSrRNRwu3UXSa.jpg,tv,10.3526,1,7.6,292,,1,['US'],"['detective', 'based on novel or book', 'the white house', 'anthology', 'murder', 'whodunit', 'dramedy', 'murder mystery', 'thoughtful', 'complex', 'introspective', 'suspenseful', 'admiring', 'appreciative', 'compassionate', 'dignified', 'earnest', 'empathetic']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:26:53.437500,,1,0,0,7.993253968253969,1,25815.0
corpos,Jose,0 days 07:07:41,0.0,5128.0,3036.0,17497.0,16,,,2,0,0,0,1,12,1,0,0,0,0,0,0,0,16,0,0,0,0,corpos,O Problema dos 3 Corpos,"[10765, 9648, 18]",https://image.tmdb.org/t/p/w500/rqMYUtyrRJrZ1zKQvBfLgPh1c0T.jpg,tv,42.5246,2,7.464,1431,,1,['US'],"['china', 'based on novel or book', 'scientist', 'alien invasion', 'alien contact', 'signal', '1960s', 'thoughtful', 'alien civilization', 'imaginative', 'anxious', 'inspirational', 'cerebral', 'secret', 'thriller']",-1,5,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:26:43.812500,,1,0,0,7.993253968253969,1,25661.0
wandinha,Anas,0 days 06:56:04,1089.0,0.0,11870.0,12005.0,11,,,0,0,4,0,2,0,5,0,0,0,0,0,0,0,7,4,0,0,0,wandinha,Wandinha,"[10765, 9648, 35]",https://image.tmdb.org/t/p/w500/7rxiQrZjrer0RB9qNA8rHYFo53R.jpg,tv,56.7648,4,8.353,10398,,3,['US'],"['witch', 'friendship', 'teenage girl', 'gothic', 'macabre', 'dark fantasy', 'goth girls', 'academy', 'introspective', 'intimate', 'adoring', 'gloomy', 'based on comic strip']",-1,3,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:37:49.454545454,,1,0,0,7.993253968253969,1,24964.0
1899,Jose,0 days 06:53:23,4743.0,5039.0,3722.0,11299.0,14,,,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,14,0,0,1899,1899,"[9648, 18]",https://image.tmdb.org/t/p/w500/qmpUDEgZawIlDU5HP3IJ9HjnpI3.jpg,tv,7.0066,4,7.48,1470,,1,['DE'],"['sea', 'immigration', 'atlantic ocean', 'ship', 'dystopia', 'bermuda triangle', 'triangle', 'mind game', '19th century', 'psychological', 'new encounter', 'old continent', 'secrets', 'thriller', 'adventure']",-1,5,0,0,0,0,1,0,0,0.0,0 days 00:29:31.642857142,,1,0,1,5.0,1,24803.0
hierarchy,Anas,0 days 06:52:05,0.0,0.0,24075.0,650.0,11,,,0,0,0,1,0,6,4,0,1,10,0,0,0,0,0,0,0,0,0,hierarchy,Hierarquia do Crime,"[28, 80, 53]",https://image.tmdb.org/t/p/w500/vMVnLjbHy5yxJL5Pr0dikIUmG34.jpg,movie,9.6953,1,5.74,25,97,,['US'],[],-1,-1,0,0,0,0,0,0,0,5.9865079365079366,0 days 00:37:27.727272727,,0,0,0,7.993253968253969,0,24725.0
